Date,ZIP Code,Number of Cases
2/20/2021,45227,1
2/20/2021,45244,1
2/20/2021,45247,1
2/20/2021,45248,1
2/21/2021,45240,1
2/22/2021,45207,1
2/22/2021,45208,1
2/22/2021,45246,1
2/23/2021,45237,1
2/25/2021,45242,1
2/26/2021,45241,1
2/27/2021,45206,1
2/27/2021,45213,1
2/27/2021,45229,1
2/27/2021,45247,1
2/28/2021,45255,1
3/2/2021,45203,1
3/2/2021,45231,1
3/2/2021,45241,1
3/3/2021,45224,1
3/4/2021,45215,1
3/4/2021,45230,1
3/7/2021,45215,1
3/7/2021,45229,1
3/7/2021,45231,1
3/8/2021,45140,1
3/8/2021,45224,1
3/8/2021,45233,1
3/9/2021,45030,1
3/9/2021,45213,1
3/9/2021,45237,1
3/9/2021,45239,1
3/10/2021,45239,1
3/10/2021,45242,1
3/10/2021,45247,1
3/11/2021,45233,1
3/12/2021,45030,1
3/12/2021,45238,1
3/12/2021,45239,1
3/16/2021,45217,1
3/16/2021,45248,1
3/17/2021,45226,1
3/19/2021,45247,1
3/20/2021,45206,1
3/20/2021,45247,1
3/20/2021,45248,1
3/22/2021,45237,1
3/24/2021,45030,1
3/25/2021,45212,1
3/25/2021,45230,1
3/25/2021,45246,1
3/26/2021,45211,1
3/26/2021,45246,1
3/29/2021,45206,1
3/29/2021,45230,1
3/29/2021,45247,1
3/30/2021,45237,1
4/1/2021,45211,1
4/2/2021,45241,1
4/4/2021,45240,1
4/6/2021,45033,2
4/6/2021,45241,1
4/8/2021,45232,1
4/8/2021,45237,1
4/8/2021,45238,1
4/11/2021,45211,1
