"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
5,3,2,2021-11-10,2021-12-09,11,40,1.08992315629582,0.00383274086199565,1.08191748983149,1.09674898314933
5,3,2,2021-11-11,2021-12-10,12,41,1.0940241331181,0.00399447657725031,1.08572868663594,1.10064804147465
5,3,2,2021-11-12,2021-12-11,13,42,1.09982807606174,0.0040138561386725,1.09285795974382,1.10666456999085
5,3,2,2021-11-13,2021-12-12,14,43,1.10365946687542,0.00427292584461354,1.09600556438792,1.11203440835794
5,3,2,2021-11-14,2021-12-13,15,44,1.10986486245531,0.00407081239296739,1.10077404479578,1.11687801932367
5,3,2,2021-11-15,2021-12-14,16,45,1.11703507712628,0.00429362908241595,1.10854940247546,1.12516538625694
5,3,2,2021-11-16,2021-12-15,17,46,1.12785257539771,0.00404734254257333,1.11870660635388,1.13470702714075
5,3,2,2021-11-17,2021-12-16,18,47,1.14337471556882,0.0037351617221315,1.13439960629921,1.14774658101948
5,3,2,2021-11-18,2021-12-17,19,48,1.16500424796252,0.00378312685449813,1.15655537459283,1.17055425488599
5,3,2,2021-11-19,2021-12-18,20,49,1.18778238527702,0.004014799704256,1.1783943150892,1.19373047071868
5,3,2,2021-11-20,2021-12-19,21,50,1.20851812332819,0.00404290075948186,1.2003538676236,1.21521132376396
5,3,2,2021-11-21,2021-12-20,22,51,1.23573184735415,0.00401870828976188,1.22663969538315,1.24217039504998
5,3,2,2021-11-22,2021-12-21,23,52,1.26184515691299,0.0038406429754977,1.25348220704529,1.26861520488857
5,3,2,2021-11-23,2021-12-22,24,53,1.29225405158453,0.00363976341145456,1.28524822086942,1.29971919746206
5,3,2,2021-11-24,2021-12-23,25,54,1.33336078392032,0.0036353684307423,1.32683026251427,1.34054296429154
5,3,2,2021-11-25,2021-12-24,26,55,1.36757142424838,0.00369503142935275,1.36226108335316,1.37486517566817
5,3,2,2021-11-26,2021-12-25,27,56,1.3848294259636,0.00417372181427754,1.37682917316693,1.39177262090484
5,3,2,2021-11-27,2021-12-26,28,57,1.41895042692466,0.00412813672203151,1.41121839758237,1.42586975749982
5,3,2,2021-11-28,2021-12-27,29,58,1.43538128068132,0.00353493447586059,1.42870492669396,1.44081528199709
5,3,2,2021-11-29,2021-12-28,30,59,1.42256199475352,0.00360423180605094,1.41565895342691,1.42826099723968
5,3,2,2021-11-30,2021-12-29,31,60,1.40162831273799,0.00344958138998466,1.39464729851299,1.40787029687252
5,3,2,2021-12-01,2021-12-30,32,61,1.3909355134843,0.00283385806463447,1.38531535869042,1.39631800674049
5,3,2,2021-12-02,2021-12-31,33,62,1.396211818848,0.00296050676369564,1.39018123422803,1.40192360633173
5,3,2,2021-12-03,2022-01-01,34,63,1.40297621550811,0.00272751576203536,1.39750617006955,1.40848777204398
5,3,2,2021-12-04,2022-01-02,35,64,1.40042085250828,0.00256261916784976,1.39520520070257,1.40564837424496
5,3,2,2021-12-05,2022-01-03,36,65,1.36546628912265,0.0023662787939424,1.36039361214989,1.37060596809891
5,3,2,2021-12-06,2022-01-04,37,66,1.32131439314993,0.00208646889293631,1.31669846672167,1.32454620462046
5,3,2,2021-12-07,2022-01-05,38,67,1.28103165191553,0.00208007688751789,1.2770243456899,1.28435403609335
5,3,2,2021-12-08,2022-01-06,39,68,1.25519863285397,0.00202869652201623,1.25204562287069,1.25907050807288
5,3,2,2021-12-09,2022-01-07,40,69,1.23712409901075,0.00189496583077451,1.23357941614453,1.2406226293164
5,3,2,2021-12-10,2022-01-08,41,70,1.2293584690261,0.0016705866319093,1.22615205479452,1.23250890410959
5,3,2,2021-12-11,2022-01-09,42,71,1.2199332335051,0.00158875213009334,1.21746739188539,1.2229954027904
5,3,2,2021-12-12,2022-01-10,43,72,1.19318172199245,0.00150954103699596,1.19080490070548,1.196205217042
5,3,2,2021-12-13,2022-01-11,44,73,1.16510330603937,0.00143129907848045,1.1625640295959,1.16782927812559
5,3,2,2021-12-14,2022-01-12,45,74,1.13811602364501,0.00129076087301923,1.13585778422747,1.14078783275135
5,3,2,2021-12-15,2022-01-13,46,75,1.11456066379336,0.00129661515100117,1.11232102774206,1.11724181140628
5,3,2,2021-12-16,2022-01-14,47,76,1.09802096965538,0.00109812707713205,1.09630616344222,1.1002886140184
5,3,2,2021-12-17,2022-01-15,48,77,1.08987852765846,0.00113316658940004,1.08781205495518,1.09220857418112
5,3,2,2021-12-18,2022-01-16,49,78,1.08166286468797,0.00112925348366546,1.07960266072618,1.08381027231845
5,3,2,2021-12-19,2022-01-17,50,79,1.06819416149809,0.000987093341030675,1.0663859548958,1.06999357693406
5,3,2,2021-12-20,2022-01-18,51,80,1.05034075407324,0.000949558359684741,1.04880128497492,1.05209799916715
5,3,2,2021-12-21,2022-01-19,52,81,1.02911149794666,0.000941358522819184,1.02744380274569,1.0309182125773
5,3,2,2021-12-22,2022-01-20,53,82,1.00873074882339,0.00103279602404086,1.00672567645366,1.01116580310881
5,3,2,2021-12-23,2022-01-21,54,83,0.990667848312762,0.00102303144877678,0.988936129647283,0.992951858913251
5,3,2,2021-12-24,2022-01-22,55,84,0.973367283049036,0.00104093679358344,0.971407800533599,0.975348375208737
5,3,2,2021-12-25,2022-01-23,56,85,0.958228157900921,0.000978841000721192,0.95636082157006,0.960019616139082
5,3,2,2021-12-26,2022-01-24,57,86,0.944064926842035,0.00101046080712191,0.942311919651317,0.945870286147432
5,3,2,2021-12-27,2022-01-25,58,87,0.920181451470303,0.000991196318924953,0.91818501215436,0.922034051200243
5,3,2,2021-12-28,2022-01-26,59,88,0.891673842746206,0.00111307896703069,0.889492263056093,0.893518858800774
5,3,2,2021-12-29,2022-01-27,60,89,0.868468925127554,0.00127788493913223,0.86623719032932,0.870966073027559
5,3,2,2021-12-30,2022-01-28,61,90,0.849300998157764,0.00126681355557099,0.846576966697598,0.851809980410352
5,3,2,2021-12-31,2022-01-29,62,91,0.828589823796854,0.00132024288113722,0.826238135210176,0.831181528593875
5,3,2,2022-01-01,2022-01-30,63,92,0.810191144083304,0.00132342092632291,0.807631439544431,0.812784178695978
5,3,2,2022-01-02,2022-01-31,64,93,0.795907776339199,0.00115742380327255,0.79346822801984,0.798340784235226
5,3,2,2022-01-03,2022-02-01,65,94,0.778489860190065,0.00124452515518785,0.776112830549361,0.780768399253562
5,3,2,2022-01-04,2022-02-02,66,95,0.75379282693944,0.00133270481335443,0.751146048318563,0.756181862328518
5,3,2,2022-01-05,2022-02-03,67,96,0.738573544898947,0.0014308091467156,0.735850389991101,0.741558917447521
5,3,2,2022-01-06,2022-02-04,68,97,0.726641943465955,0.0016946060980827,0.723799637198492,0.729559111136306
5,3,2,2022-01-07,2022-02-05,69,98,0.716218222737576,0.00190229957747862,0.712138632385781,0.718739060896856
5,3,2,2022-01-08,2022-02-06,70,99,0.7003533311207,0.00191609146259505,0.696943031044699,0.70356176735798
5,3,2,2022-01-09,2022-02-07,71,100,0.687766448193589,0.00171807716111852,0.684345374713103,0.690833416492033
5,3,2,2022-01-10,2022-02-08,72,101,0.677258842136144,0.0016554303172619,0.673939008019826,0.680028740577565
5,3,2,2022-01-11,2022-02-09,73,102,0.660987802945009,0.00194517832284054,0.657078193957225,0.66454019086417
5,3,2,2022-01-12,2022-02-10,74,103,0.651639759633011,0.00204803099096965,0.647708099571957,0.656683497485766
5,3,2,2022-01-13,2022-02-11,75,104,0.647906454388752,0.00242564444690688,0.642982636980026,0.652351337731354
5,3,2,2022-01-14,2022-02-12,76,105,0.644754599021563,0.00255782471624102,0.639870799065895,0.649686516397604
5,3,2,2022-01-15,2022-02-13,77,106,0.635546348819684,0.00273273216183695,0.629641203057865,0.640268400200882
5,3,2,2022-01-16,2022-02-14,78,107,0.627327119598793,0.00281844072260449,0.622248441414671,0.632629785002622
5,3,2,2022-01-17,2022-02-15,79,108,0.619385441171816,0.00278323393128235,0.61367699462463,0.623879627951924
5,3,2,2022-01-18,2022-02-16,80,109,0.607153570514279,0.00231308626859847,0.602431735040502,0.610633328978312
