"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
5,5,1,2020-06-10,2020-07-09,83,112,1.08001925706489,0.00491043617066119,1.06974406991261,1.08863920099875
5,5,1,2020-06-11,2020-07-10,84,113,1.06322989885846,0.00458579478407537,1.05282672540382,1.07025208027411
5,5,1,2020-06-12,2020-07-11,85,114,1.04825520535382,0.00457640664981096,1.03886013480982,1.0562168993741
5,5,1,2020-06-13,2020-07-12,86,115,1.03741923553664,0.00457111379362316,1.02908653846154,1.04810096153846
5,5,1,2020-06-14,2020-07-13,87,116,1.02106198081665,0.00437458981827077,1.01232900943396,1.03043632075472
5,5,1,2020-06-15,2020-07-14,88,117,1.00080978063598,0.00415054958268116,0.99303107606679,1.00939819109462
5,5,1,2020-06-16,2020-07-15,89,118,0.981879247794499,0.00435003599731466,0.974558652729384,0.990023228803717
5,5,1,2020-06-17,2020-07-16,90,119,0.96095850185703,0.00406770677386269,0.952501157943492,0.968515516442798
5,5,1,2020-06-18,2020-07-17,91,120,0.935912971958269,0.0044175459477975,0.929032258064516,0.944942396313364
5,5,1,2020-06-19,2020-07-18,92,121,0.922263248031785,0.00441317380585381,0.913964016933208,0.928751175917215
5,5,1,2020-06-20,2020-07-19,93,122,0.907084748745332,0.00468564781788772,0.89858367055463,0.916097357771959
5,5,1,2020-06-21,2020-07-20,94,123,0.878929186779742,0.004615173535499,0.870751246142891,0.888826252076905
5,5,1,2020-06-22,2020-07-21,95,124,0.847840845624899,0.00425494534941313,0.839543726235741,0.856499524714829
5,1,2,2020-11-15,2020-12-14,2,31,1.00236320152949,0.00146038733812697,0.999291269796539,1.0051964154878
5,1,2,2020-11-16,2020-12-15,3,32,0.984772352477358,0.00138601730931951,0.982200656248262,0.987143373560981
5,1,2,2020-11-17,2020-12-16,4,33,0.983295404242126,0.00140432980598534,0.980888360380526,0.986039451594852
5,1,2,2020-11-18,2020-12-17,5,34,0.98643210775042,0.00125763805871984,0.984117729699354,0.988852205675752
5,1,2,2020-11-19,2020-12-18,6,35,0.983777432224292,0.00146063770478773,0.981193268309184,0.986726898573603
5,1,2,2020-11-20,2020-12-19,7,36,0.975602649773453,0.00129999180859922,0.973124536482401,0.977729762108506
5,1,2,2020-11-21,2020-12-20,8,37,0.967792146703036,0.00121619407825727,0.965525390512421,0.970372932157473
5,1,2,2020-11-22,2020-12-21,9,38,0.96188357248362,0.0013062903335356,0.959143913538111,0.964109783845279
5,1,2,2020-11-23,2020-12-22,10,39,0.96677418458264,0.00157879524213458,0.963316433467399,0.969669461281369
5,1,2,2020-11-24,2020-12-23,11,40,0.980611980462504,0.00159188875216816,0.97724772219357,0.983248810956392
5,1,2,2020-11-25,2020-12-24,12,41,0.994000554028453,0.00166431993409066,0.991473240255963,0.997302210587551
5,1,2,2020-11-26,2020-12-25,13,42,0.989969239580362,0.00176391544944723,0.986734785470648,0.993532703009993
5,1,2,2020-11-27,2020-12-26,14,43,0.991949220609954,0.00171710421649967,0.988131477642878,0.995002961208173
5,1,2,2020-11-28,2020-12-27,15,44,0.977103993463514,0.00171296671655864,0.974247816724489,0.980471647326235
5,1,2,2020-11-29,2020-12-28,16,45,0.961624703975281,0.00141501193732218,0.959468428781204,0.964111600587372
5,1,2,2020-11-30,2020-12-29,17,46,0.956909010369948,0.00148367040116519,0.953843575093284,0.959427472014925
5,1,2,2020-12-01,2020-12-30,18,47,0.967458744970199,0.00163223751902432,0.964956975305004,0.970503035303825
5,1,2,2020-12-02,2020-12-31,19,48,0.98360723234727,0.00144024949892351,0.98104111959895,0.986731618524707
5,1,2,2020-12-03,2021-01-01,20,49,0.989094599356423,0.0016614831231126,0.985949494334105,0.992233763860119
5,1,2,2020-12-04,2021-01-02,21,50,0.98975969801065,0.00154252184989947,0.986571252693136,0.992651585103109
5,1,2,2020-12-05,2021-01-03,22,51,0.985005000403271,0.00160329813953098,0.98235211443563,0.988164469985633
