"zip_code","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
45231,2,2021-01-09,2021-02-07,57,86,0.641212115465752,0.021183479270355,0.605404217926186,0.682908611599297
45231,2,2021-01-10,2021-02-08,58,87,0.636491185243248,0.0215454354706284,0.59965034965035,0.68006993006993
45231,2,2021-01-11,2021-02-09,59,88,0.629797523963263,0.0213895785758625,0.589698046181172,0.684014209591474
45231,2,2021-01-12,2021-02-10,60,89,0.620120745613986,0.0208305628010038,0.581818181818182,0.664772727272727
45231,2,2021-01-13,2021-02-11,61,90,0.610916793278893,0.0208281341073989,0.576208178438662,0.648884758364312
45231,2,2021-01-14,2021-02-12,62,91,0.60363343995273,0.0213088884318525,0.562765957446808,0.64642166344294
45231,2,2021-01-15,2021-02-13,63,92,0.5961119118441,0.02334779950272,0.550659229208925,0.635953346855984
45231,2,2021-01-16,2021-02-14,64,93,0.587731278124493,0.0228890344135939,0.54212962962963,0.634825102880658
45231,2,2021-01-17,2021-02-15,65,94,0.580712862474518,0.0234174095803896,0.532574152542373,0.62198093220339
45231,2,2021-01-18,2021-02-16,66,95,0.574965132810747,0.0221656806900899,0.531581740976645,0.615817409766454
45231,2,2021-01-19,2021-02-17,67,96,0.567406054769685,0.0217763119631179,0.52276688453159,0.601307189542484
45231,2,2021-01-20,2021-02-18,68,97,0.558966038166368,0.0213796099648297,0.510114942528736,0.597701149425287
45231,2,2021-01-21,2021-02-19,69,98,0.550522385870516,0.0222507395496162,0.498624401913876,0.590909090909091
45231,2,2021-01-22,2021-02-20,70,99,0.542058920818375,0.0221528646397067,0.496277915632754,0.580645161290323
45231,2,2021-01-23,2021-02-21,71,100,0.535350528576436,0.0213144035913956,0.490966921119593,0.575063613231552
45231,2,2021-01-24,2021-02-22,72,101,0.530078436111286,0.022167156154418,0.478795811518325,0.565445026178011
45231,2,2021-01-25,2021-02-23,73,102,0.522404063169916,0.0226031298893037,0.477077747989276,0.56313672922252
45231,2,2021-01-26,2021-02-24,74,103,0.515560947864196,0.0218135793070702,0.473109243697479,0.554621848739496
45231,2,2021-01-27,2021-02-25,75,104,0.505086428817562,0.0225723290236134,0.456973293768546,0.545994065281899
45231,2,2021-01-28,2021-02-26,76,105,0.498195074927799,0.0219254539048772,0.451515151515152,0.536363636363636
